Time,TEMP,HUM,LIGHT,SOIL,SOIL_STATUS,RAIN_STATUS,RAIN_VALUE,Crop_Height_ft,Crop_to_Crop_Distance_ft,pH,pH_Type,longitude,latitude
2026-03-26 14:36:19.304568,35.8,16,78,674,MOIST,NO_RAIN,62,1.37,0.95,5.79,Acidic,87.8920738,23.2276843
2026-03-26 14:36:22.621886,35.8,15,78,676,MOIST,NO_RAIN,64,1.44,0.94,5.12,Acidic,87.8920737,23.2276875
2026-03-26 14:36:25.927135,36,15,82,672,MOIST,NO_RAIN,64,1.4,0.97,5.61,Acidic,87.8920736,23.2276922
2026-03-26 14:36:29.239674,36,15,80,664,MOIST,NO_RAIN,71,1.32,0.81,5.07,Acidic,87.8920735,23.2276927
2026-03-26 14:36:32.694745,0,0,80,664,MOIST,NO_RAIN,71,1.44,0.84,5.59,Acidic,87.8920733,23.2277028
2026-03-26 14:36:35.988577,36.1,14,79,661,MOIST,NO_RAIN,68,1.25,0.82,5.38,Acidic,87.8920733,23.2277047
2026-03-26 14:36:39.312126,36,14,76,616,MOIST,NO_RAIN,68,1.21,0.9,4.96,Acidic,87.8920732,23.227711
2026-03-26 14:36:42.623866,36,14,81,675,MOIST,NO_RAIN,63,1.23,0.95,5.18,Acidic,87.8920735,23.2277139
2026-03-26 14:36:45.939081,36.1,15,79,671,MOIST,NO_RAIN,64,1.42,0.93,5.07,Acidic,87.8920739,23.2277179
2026-03-26 14:36:49.257992,36.2,14,81,674,MOIST,NO_RAIN,61,1.34,0.97,4.81,Acidic,87.8920742,23.2277244
2026-03-26 14:36:52.570519,36.3,14,81,673,MOIST,NO_RAIN,59,1.25,0.83,4.76,Acidic,87.8920744,23.2277251
2026-03-26 14:36:55.886700,36.2,14,78,673,MOIST,NO_RAIN,61,1.35,0.95,5.1,Acidic,87.8920747,23.2277314
2026-03-26 14:36:59.194765,36.3,14,77,635,MOIST,NO_RAIN,67,1.25,0.84,4.75,Acidic,87.8920756,23.227736
2026-03-26 14:37:02.509981,36.1,15,78,677,MOIST,NO_RAIN,60,1.41,0.85,4.91,Acidic,87.8920761,23.2277395
2026-03-26 14:37:05.830288,36.1,15,78,638,MOIST,NO_RAIN,62,1.33,0.94,5.51,Acidic,87.8920763,23.2277449
2026-03-26 14:37:09.121279,36.6,15,81,645,MOIST,NO_RAIN,71,1.31,1,5.49,Acidic,87.892077,23.2277473
2026-03-26 14:37:12.446591,36.3,15,81,677,MOIST,NO_RAIN,61,1.29,0.92,5.53,Acidic,87.8920778,23.2277511
2026-03-26 14:37:15.758479,36.3,15,78,636,MOIST,NO_RAIN,60,1.39,0.81,5.07,Acidic,87.8920774,23.2277572
2026-03-26 14:37:19.049106,36,15,81,643,MOIST,NO_RAIN,61,1.31,0.92,5.69,Acidic,87.8920777,23.2277615
2026-03-26 14:40:32.851244,35.6,17,90,733,WET,NO_RAIN,73,1.23,0.81,5.37,Acidic,87.8920778,23.2277617
2026-03-26 14:40:36.147589,35.7,16,87,705,WET,NO_RAIN,83,1.24,0.98,4.87,Acidic,87.8920773,23.2277687
2026-03-26 14:40:39.453529,35.6,16,90,726,WET,NO_RAIN,74,1.49,0.94,4.89,Acidic,87.8920783,23.2277717
2026-03-26 14:40:42.768339,35.5,16,89,716,WET,NO_RAIN,71,1.47,0.83,5.48,Acidic,87.8920788,23.2277733
2026-03-26 14:40:46.075265,35.4,16,82,631,MOIST,NO_RAIN,71,1.41,0.82,4.92,Acidic,87.8920801,23.2277829
2026-03-26 14:40:49.393548,35.6,17,87,672,MOIST,NO_RAIN,69,1.28,0.84,5.28,Acidic,87.8920803,23.2277866
2026-03-26 14:40:52.711174,35.8,16,84,661,MOIST,NO_RAIN,72,1.49,1,5.8,Acidic,87.8920807,23.2277942
2026-03-26 14:40:56.006977,35.5,16,82,629,MOIST,NO_RAIN,75,1.43,0.89,4.73,Acidic,87.8920809,23.2277958
2026-03-26 14:40:59.316671,35.7,16,83,644,MOIST,NO_RAIN,70,1.42,0.96,4.75,Acidic,87.8920802,23.2278027
2026-03-26 14:41:02.630026,35.6,14,82,642,MOIST,NO_RAIN,68,1.33,0.93,5.8,Acidic,87.8920809,23.2278068
2026-03-26 14:41:05.950002,35.5,14,84,664,MOIST,NO_RAIN,71,1.28,0.91,5.36,Acidic,87.8920811,23.2278106
2026-03-26 14:41:09.268125,35.4,14,80,619,MOIST,NO_RAIN,73,1.23,0.83,4.87,Acidic,87.8920808,23.2278178
2026-03-26 14:41:12.581489,35.7,15,84,671,MOIST,NO_RAIN,72,1.47,0.99,5.7,Acidic,87.8920816,23.2278192
2026-03-26 14:41:15.885039,35.6,16,82,657,MOIST,NO_RAIN,65,1.34,0.86,5.68,Acidic,87.892082,23.2278254
2026-03-26 14:41:19.206998,35.6,16,84,667,MOIST,NO_RAIN,73,1.26,0.92,5.31,Acidic,87.892082,23.2278309
2026-03-26 14:41:22.521819,35.6,15,83,646,MOIST,NO_RAIN,64,1.29,0.94,5.4,Acidic,87.8920826,23.2278315
2026-03-26 14:41:25.836259,35.7,15,81,635,MOIST,NO_RAIN,68,1.37,0.93,5.03,Acidic,87.8920828,23.2278389
2026-03-26 14:41:29.132446,35.6,15,81,642,MOIST,NO_RAIN,77,1.25,0.99,4.78,Acidic,87.8920834,23.227843
2026-03-26 14:41:32.453310,35.4,16,82,674,MOIST,NO_RAIN,67,1.46,0.83,5.37,Acidic,87.8920837,23.2278455
2026-03-26 14:41:35.770284,35.6,16,85,682,MOIST,NO_RAIN,76,1.43,0.9,5.05,Acidic,87.8920839,23.2278501
2026-03-26 14:41:39.057965,35.5,15,87,694,MOIST,NO_RAIN,69,1.42,0.88,5.45,Acidic,87.8920834,23.2278557
2026-03-26 14:41:42.381622,35.3,15,87,691,MOIST,NO_RAIN,66,1.33,0.89,5.63,Acidic,87.8920845,23.2278565
2026-03-26 14:41:45.699205,35.4,16,88,686,MOIST,NO_RAIN,64,1.39,0.82,4.75,Acidic,87.8920847,23.22786
2026-03-26 14:41:49.004167,35.4,16,87,692,MOIST,NO_RAIN,64,1.38,0.83,5.37,Acidic,87.8920845,23.2278656
2026-03-26 14:41:52.306638,35.4,16,79,629,MOIST,NO_RAIN,49,1.39,0.86,4.98,Acidic,87.8920852,23.227866
2026-03-26 14:41:55.626594,35.4,17,76,625,MOIST,NO_RAIN,74,1.23,0.86,5.67,Acidic,87.8920858,23.2278719
2026-03-26 14:41:58.926300,35.5,17,77,625,MOIST,NO_RAIN,73,1.32,0.89,5,Acidic,87.8920868,23.2278766
2026-03-26 14:42:02.251576,35.5,17,78,616,MOIST,NO_RAIN,76,1.21,0.92,5.39,Acidic,87.8920872,23.2278783
2026-03-26 14:42:05.563961,35.5,17,78,627,MOIST,NO_RAIN,73,1.35,0.93,5.33,Acidic,87.8920876,23.2278833
2026-03-26 14:42:08.880675,35.6,18,73,572,MOIST,NO_RAIN,72,1.3,0.88,5.16,Acidic,87.8920885,23.2278873
2026-03-26 14:42:12.187130,35.7,19,76,602,MOIST,NO_RAIN,75,1.24,0.88,5.46,Acidic,87.8920894,23.2278924
2026-03-26 14:42:15.499350,35.6,19,82,638,MOIST,NO_RAIN,71,1.23,0.84,5.51,Acidic,87.8920908,23.2278989
2026-03-26 14:42:18.812977,35.7,16,81,631,MOIST,NO_RAIN,70,1.38,0.92,5.34,Acidic,87.892091,23.2278995
2026-03-26 14:42:22.113179,35.9,16,78,608,MOIST,NO_RAIN,76,1.25,0.86,5.55,Acidic,87.8920918,23.2279062
2026-03-26 14:42:25.429393,35.8,16,81,652,MOIST,NO_RAIN,70,1.48,0.81,5.79,Acidic,87.8920927,23.2279103
2026-03-26 14:42:28.743119,35.7,16,81,640,MOIST,NO_RAIN,71,1.37,0.88,5.18,Acidic,87.8920931,23.2279125
2026-03-26 14:42:32.040209,35.6,15,82,654,MOIST,NO_RAIN,71,1.3,0.89,5.29,Acidic,87.8920936,23.227919
2026-03-26 14:42:35.355412,35.7,15,82,647,MOIST,NO_RAIN,68,1.38,0.85,4.74,Acidic,87.8920944,23.2279212
2026-03-26 14:42:38.670204,35.6,16,80,662,MOIST,NO_RAIN,73,1.21,0.91,5.59,Acidic,87.8920949,23.2279257
2026-03-26 14:42:41.972714,35.7,17,80,653,MOIST,NO_RAIN,72,1.49,0.91,5.29,Acidic,87.8920959,23.2279319
2026-03-26 14:42:45.288127,35.5,17,83,654,MOIST,NO_RAIN,72,1.34,0.94,5.17,Acidic,87.8920962,23.2279325
2026-03-26 14:42:48.604381,35.5,18,83,624,MOIST,NO_RAIN,71,1.43,0.93,4.83,Acidic,87.8920968,23.2279387
2026-03-26 14:42:51.919412,35.6,18,79,626,MOIST,NO_RAIN,71,1.22,0.93,5.69,Acidic,87.8920978,23.2279425
2026-03-26 14:42:55.231362,35.5,17,84,663,MOIST,NO_RAIN,64,1.35,0.86,5.16,Acidic,87.8920985,23.2279461
2026-03-26 14:42:58.534616,35.6,17,82,653,MOIST,NO_RAIN,68,1.35,0.96,5.47,Acidic,87.8920995,23.2279517
2026-03-26 14:43:01.860501,35.4,17,82,653,MOIST,NO_RAIN,65,1.48,0.91,4.89,Acidic,87.8921003,23.2279535
2026-03-26 14:43:05.165540,35.5,17,79,617,MOIST,NO_RAIN,72,1.37,0.89,5.77,Acidic,87.8921012,23.2279573
2026-03-26 14:43:08.481213,35.5,18,84,662,MOIST,NO_RAIN,66,1.34,0.93,4.92,Acidic,87.8921023,23.2279633
2026-03-26 14:43:11.795295,35.3,19,81,666,MOIST,NO_RAIN,67,1.28,0.87,4.95,Acidic,87.8921028,23.2279641
2026-03-26 14:43:15.090632,35.4,18,81,659,MOIST,NO_RAIN,70,1.3,0.9,5.66,Acidic,87.8921042,23.2279738
2026-03-26 14:43:18.404707,35.5,17,83,622,MOIST,NO_RAIN,68,1.36,0.95,5.72,Acidic,87.8921045,23.2279744
2026-03-26 14:43:21.721756,35.3,17,85,664,MOIST,NO_RAIN,63,1.33,0.98,4.96,Acidic,87.8921055,23.2279809
2026-03-26 14:43:25.018782,35.3,17,84,656,MOIST,NO_RAIN,65,1.21,0.98,5.24,Acidic,87.8921063,23.2279847
2026-03-26 14:43:28.336496,35.3,16,84,632,MOIST,NO_RAIN,63,1.45,0.9,5.52,Acidic,87.8921066,23.2279858
2026-03-26 14:43:31.650787,35,17,86,669,MOIST,NO_RAIN,66,1.47,0.9,5.68,Acidic,87.8921081,23.2279943
2026-03-26 14:43:34.964850,35,16,82,634,MOIST,NO_RAIN,67,1.24,0.96,5.14,Acidic,87.8921085,23.2279956
